provincia,capital_provincial,distrito,tipo
Cabo Delgado,Pemba,Ancuabe,Distrito
Cabo Delgado,Pemba,Balama,Distrito
Cabo Delgado,Pemba,Chiúre,Distrito
Cabo Delgado,Pemba,Ibo,Distrito
Cabo Delgado,Pemba,Macomia,Distrito
Cabo Delgado,Pemba,Mecúfi,Distrito
Cabo Delgado,Pemba,Meluco,Distrito
Cabo Delgado,Pemba,Metuge,Distrito
Cabo Delgado,Pemba,Mocímboa da Praia,Distrito
Cabo Delgado,Pemba,Montepuez,Distrito
Cabo Delgado,Pemba,Mueda,Distrito
Cabo Delgado,Pemba,Muidumbe,Distrito
Cabo Delgado,Pemba,Namuno,Distrito
Cabo Delgado,Pemba,Nangade,Distrito
Cabo Delgado,Pemba,Palma,Distrito
Cabo Delgado,Pemba,Pemba,Cidade (capital provincial)
Cabo Delgado,Pemba,Quissanga,Distrito
Gaza,Xai-Xai,Bilene,Distrito
Gaza,Xai-Xai,Chibuto,Distrito
Gaza,Xai-Xai,Chicualacuala,Distrito
Gaza,Xai-Xai,Chigubo,Distrito
Gaza,Xai-Xai,Chongoene,Distrito
Gaza,Xai-Xai,Chókwè,Distrito
Gaza,Xai-Xai,Guijá,Distrito
Gaza,Xai-Xai,Limpopo,Distrito
Gaza,Xai-Xai,Mabalane,Distrito
Gaza,Xai-Xai,Mandlakaze,Distrito
Gaza,Xai-Xai,Mapai,Distrito
Gaza,Xai-Xai,Massangena,Distrito
Gaza,Xai-Xai,Massingir,Distrito
Gaza,Xai-Xai,Xai-Xai,Cidade (capital provincial)
Inhambane,Inhambane,Funhalouro,Distrito
Inhambane,Inhambane,Govuro,Distrito
Inhambane,Inhambane,Homoíne,Distrito
Inhambane,Inhambane,Inhambane,Cidade (capital provincial)
Inhambane,Inhambane,Inharrime,Distrito
Inhambane,Inhambane,Inhassoro,Distrito
Inhambane,Inhambane,Jangamo,Distrito
Inhambane,Inhambane,Mabote,Distrito
Inhambane,Inhambane,Massinga,Distrito
Inhambane,Inhambane,Maxixe,Distrito
Inhambane,Inhambane,Morrumbene,Distrito
Inhambane,Inhambane,Panda,Distrito
Inhambane,Inhambane,Vilankulo,Distrito
Inhambane,Inhambane,Zavala,Distrito
Manica,Chimoio,Bárue,Distrito
Manica,Chimoio,Chimoio,Cidade (capital provincial)
Manica,Chimoio,Gondola,Distrito
Manica,Chimoio,Guro,Distrito
Manica,Chimoio,Macate,Distrito
Manica,Chimoio,Machaze,Distrito
Manica,Chimoio,Macossa,Distrito
Manica,Chimoio,Manica,Distrito
Manica,Chimoio,Mossurize,Distrito
Manica,Chimoio,Sussundenga,Distrito
Manica,Chimoio,Tambara,Distrito
Manica,Chimoio,Vanduzi,Distrito
Maputo (Província),Matola,Boane,Distrito
Maputo (Província),Matola,Magude,Distrito
Maputo (Província),Matola,Manhiça,Distrito
Maputo (Província),Matola,Marracuene,Distrito
Maputo (Província),Matola,Matola,Cidade (capital provincial)
Maputo (Província),Matola,Matutuíne,Distrito
Maputo (Província),Matola,Moamba,Distrito
Maputo (Província),Matola,Namaacha,Distrito
Maputo (Cidade),Maputo,KaMavota,Distrito municipal
Maputo (Cidade),Maputo,KaMaxakeni,Distrito municipal
Maputo (Cidade),Maputo,KaMpfumo,Distrito municipal
Maputo (Cidade),Maputo,KaMubukwana,Distrito municipal
Maputo (Cidade),Maputo,KaNyaka,Distrito municipal
Maputo (Cidade),Maputo,KaTembe,Distrito municipal
Maputo (Cidade),Maputo,Nlhamankulu,Distrito municipal
Nampula,Nampula,Angoche,Distrito
Nampula,Nampula,Eráti,Distrito
Nampula,Nampula,Ilha de Moçambique,Distrito
Nampula,Nampula,Lalaua,Distrito
Nampula,Nampula,Larde,Distrito
Nampula,Nampula,Liúpo,Distrito
Nampula,Nampula,Malema,Distrito
Nampula,Nampula,Meconta,Distrito
Nampula,Nampula,Mecubúri,Distrito
Nampula,Nampula,Memba,Distrito
Nampula,Nampula,Mogincual,Distrito
Nampula,Nampula,Mogovolas,Distrito
Nampula,Nampula,Moma,Distrito
Nampula,Nampula,Monapo,Distrito
Nampula,Nampula,Mossuril,Distrito
Nampula,Nampula,Muecate,Distrito
Nampula,Nampula,Murrupula,Distrito
Nampula,Nampula,Nacala Porto,Distrito
Nampula,Nampula,Nacala-a-Velha,Distrito
Nampula,Nampula,Nacarôa,Distrito
Nampula,Nampula,Nampula,Cidade (capital provincial)
Nampula,Nampula,Rapale,Distrito
Nampula,Nampula,Ribáuè,Distrito
Niassa,Lichinga,Chimbonila,Distrito
Niassa,Lichinga,Cuamba,Distrito
Niassa,Lichinga,Lago,Distrito
Niassa,Lichinga,Lichinga,Cidade (capital provincial)
Niassa,Lichinga,Majune,Distrito
Niassa,Lichinga,Mandimba,Distrito
Niassa,Lichinga,Marrupa,Distrito
Niassa,Lichinga,Mavago,Distrito
Niassa,Lichinga,Maúa,Distrito
Niassa,Lichinga,Mecanhelas,Distrito
Niassa,Lichinga,Mecula,Distrito
Niassa,Lichinga,Metarica,Distrito
Niassa,Lichinga,Muembe,Distrito
Niassa,Lichinga,N'gauma,Distrito
Niassa,Lichinga,Nipepe,Distrito
Niassa,Lichinga,Sanga,Distrito
Sofala,Beira,Beira,Cidade (capital provincial)
Sofala,Beira,Búzi,Distrito
Sofala,Beira,Caia,Distrito
Sofala,Beira,Chemba,Distrito
Sofala,Beira,Cheringoma,Distrito
Sofala,Beira,Chibabava,Distrito
Sofala,Beira,Dondo,Distrito
Sofala,Beira,Gorongosa,Distrito
Sofala,Beira,Machanga,Distrito
Sofala,Beira,Maringué,Distrito
Sofala,Beira,Marromeu,Distrito
Sofala,Beira,Muanza,Distrito
Sofala,Beira,Nhamatanda,Distrito
Tete,Tete,Angónia,Distrito
Tete,Tete,Cahora Bassa,Distrito
Tete,Tete,Changara,Distrito
Tete,Tete,Chifunde,Distrito
Tete,Tete,Chiuta,Distrito
Tete,Tete,Dôa,Distrito
Tete,Tete,Macanga,Distrito
Tete,Tete,Marara,Distrito
Tete,Tete,Marávia,Distrito
Tete,Tete,Moatize,Distrito
Tete,Tete,Mutarara,Distrito
Tete,Tete,Mágoè,Distrito
Tete,Tete,Tete,Cidade (capital provincial)
Tete,Tete,Tsangano,Distrito
Tete,Tete,Zumbo,Distrito
Zambézia,Quelimane,Alto Molócuè,Distrito
Zambézia,Quelimane,Chinde,Distrito
Zambézia,Quelimane,Derre,Distrito
Zambézia,Quelimane,Gilé,Distrito
Zambézia,Quelimane,Gurué,Distrito
Zambézia,Quelimane,Ile,Distrito
Zambézia,Quelimane,Inhassunge,Distrito
Zambézia,Quelimane,Luabo,Distrito
Zambézia,Quelimane,Lugela,Distrito
Zambézia,Quelimane,Maganja da Costa,Distrito
Zambézia,Quelimane,Milange,Distrito
Zambézia,Quelimane,Mocuba,Distrito
Zambézia,Quelimane,Mocubela,Distrito
Zambézia,Quelimane,Molumbo,Distrito
Zambézia,Quelimane,Mopeia,Distrito
Zambézia,Quelimane,Morrumbala,Distrito
Zambézia,Quelimane,Mulevala,Distrito
Zambézia,Quelimane,Namacurra,Distrito
Zambézia,Quelimane,Namarrói,Distrito
Zambézia,Quelimane,Nicoadala,Distrito
Zambézia,Quelimane,Pebane,Distrito
Zambézia,Quelimane,Quelimane,Cidade (capital provincial)
